Concentration,Sample Type,Sample Number,Circle 1 Pixels Changed,Circle 1 Intensity Change,Circle 2 Pixels Changed,Circle 2 Intensity Change,Circle 3 Pixels Changed,Circle 3 Intensity Change,Circle 4 Pixels Changed,Circle 4 Intensity Change
20mM,Dry,1,45.22331621004566,80.52204623287672,45.45099417946014,79.22637603031369,42.80637518845574,75.55039844927849,45.117987847958176,80.93669634025717
20mM,Dry,2,46.325542219414615,81.5168667087808,46.808689440732806,81.52737509979411,43.34528344163119,76.71125550825305,43.27077317933911,76.47096567212063
20mM,Dry,3,42.76816900223036,74.95257332828346,42.62873918908197,75.51317146711101,43.63689116164364,76.06227106227107,43.56572645023949,75.03704097924428
20mM,Dry,4,42.692020879940344,73.7909105973983,47.21612614809396,83.81089978054133,45.97315436241611,81.42797219558965,44.92331586099787,77.34521452145215
20mM,Dry,5,43.212199615821866,77.32043592457563,45.72541829016731,79.65230346092139,42.61475839277798,75.51473018175956,44.16565656565656,77.14028282828284
20mM,Dry,6,44.42737265098688,78.03057164243785,45.696707224857356,81.36505808757819,46.565971021176836,83.13751489296284,46.224699557242246,80.7821394686907
20mM,Dry,7,45.94810379241517,80.85211395391036,49.3042071197411,86.6198705501618,54.791136673671794,99.70854993916602,50.609861442244565,92.57745067551225
20mM,Dry,8,50.179729479340374,88.84902723735408,49.87614181761882,88.62649016875677,49.341937365561996,87.35320281453936,50.219249349684134,88.96640654031958
20mM,Dry,9,46.75950723085163,81.98032494197464,48.01087225105016,86.05415534140515,57.679866146123814,103.96512362892732,54.894324773842854,98.47559936716563
20mM,Dry,10,51.19521157707315,91.29802629086639,46.507419471588854,79.94410262597016,49.19450631031923,89.6214550853749,50.647871280079734,92.55720489819166
20mM,Yellow light,1,56.40696347031964,98.37100456621005,61.22504785343178,112.16262353998204,71.1034532270802,130.05962380644698,74.51250529885544,138.43016108520558
20mM,Yellow light,2,63.91661402400506,120.9352284691514,50.115551073574515,92.48266733896382,67.98117857943087,123.74747927403092,63.883541867179986,114.86240776387552
20mM,Yellow light,3,51.4034423263056,91.62525775365063,50.44830595889868,89.04689359676267,69.29605048416929,129.86011678090887,65.28649991130034,127.64882029448287
20mM,Yellow light,4,61.93139448173005,118.02489850028999,64.98821425668537,112.42062911485003,60.80616810482582,113.37076542026206,82.80722189866046,150.9259172976121
20mM,Yellow light,5,58.6067662393665,110.10337527931318,61.92986477194591,115.3796317518527,78.92233909644139,145.2782815459638,70.44040404040403,132.66145454545455
20mM,Yellow light,6,69.01863451916637,130.90603947523934,57.35546848147385,103.57774798927613,61.18605634344133,110.67412275644722,67.42963314358002,125.10851518026566
20mM,Yellow light,7,68.42678279804029,131.87559426601342,56.349514563106794,104.86488673139158,72.80536813774287,135.81100910666225,57.990394250371445,107.44652914550292
20mM,Yellow light,9,74.61167648634172,139.9905731119443,77.67070257804136,144.43909068445763,68.94218256181446,128.12173266406396,74.84483388097846,140.6057360756156
20mM,Yellow light,10,52.50975489638974,96.17789900367465,54.14806772027184,97.04701009369847,74.29101707498144,139.81124721603564,67.56015947600741,128.33924248896483
20mM,Left side,1,62.49643264840182,109.41766552511416,81.85866635415447,149.20621899292942,67.09383301026635,131.45642185368655,86.4349300551081,156.72110357496115
20mM,Left side,2,70.25479048220679,128.1828595493788,66.4481700911803,121.27383503508551,87.70632608858018,156.040480991859,89.4529996791787,159.53801732435034
20mM,Left side,3,84.11395867525144,156.84829356562724,64.5005157502182,117.21125922399429,80.52442606898053,148.82301526855983,83.91342912896931,154.5294660280291
20mM,Left side,4,78.55248985002899,148.2431435910183,91.14850036576445,160.95423880354386,86.56919143496324,156.34863374880155,86.46476412347117,155.54696175499902
20mM,Left side,6,84.41082614348186,157.68782255840523,63.24671753626178,124.82642469237643,78.9692148045659,145.73500134517084,78.63298545224542,150.10634092346615
20mM,Left side,8,80.94867518992032,151.31261812117845,89.10822108685555,156.73982040563556,87.06113966969266,159.205002005177,78.87030843552583,147.62329988851727
20mM,Left side,9,87.31655061596143,158.78261024816996,87.17980397001894,159.14228646734207,85.52519055586541,156.15430377393568,74.1876597298284,136.4926372155288
20mM,Left side,10,91.08989657915673,164.45865060423532,65.7658744520851,126.39100012064182,87.99183370452857,155.87390497401634,72.72533105510466,143.92909013242203
20mM,High height,1,58.479594748858446,101.90403824200914,69.50662135239658,129.0554709168327,60.496087299877956,110.36808098212363,80.02331496396778,149.64935707220573
20mM,High height,2,68.62497367866919,125.98930301116025,63.187528887768394,112.41073154334215,76.69355441033684,143.91765628501008,75.36894449791465,145.6230750721848
20mM,High height,3,58.19551403442327,101.03295038505239,57.196699198603504,100.27191938427359,74.67087368077468,140.02219562615602,81.11406776654249,149.8923186091893
20mM,High height,4,65.97066865523242,120.21575938354462,75.05486466715435,143.68893765748192,81.63550655161393,153.01266379034834,70.79402057852843,133.35604736944282
20mM,High height,5,65.18483672429338,120.55995923007566,58.90060356024143,108.43994957597982,84.1655583766574,152.91855075968243,79.33737373737374,150.1899797979798
20mM,High height,6,61.797265886617026,111.36760824173659,55.795009280263976,95.09854265484292,63.63426726622853,117.96913793766095,87.96647691334599,157.0145872865275
20mM,High height,7,83.47305389221556,155.25679549990926,63.66019417475728,122.33155339805825,76.75035947350956,139.39578955130332,81.57976573027884,149.26778618568812
